schedule,chunksize,num_threads,loop,time
static,8,6,1,0.035065
static,8,6,2,0.129562
static,8,6,1,0.035209
static,8,6,2,0.129489
static,8,6,1,0.035141
static,8,6,2,0.131997
static,8,6,1,0.036545
static,8,6,2,0.131638
static,8,6,1,0.035059
static,8,6,2,0.129554
static,8,6,1,0.035282
static,8,6,2,0.129538
static,8,6,1,0.035046
static,8,6,2,0.129621
static,8,6,1,0.035043
static,8,6,2,0.129591
static,8,6,1,0.035158
static,8,6,2,0.130600
static,8,6,1,0.035068
static,8,6,2,0.129544
static,8,6,1,0.035082
static,8,6,2,0.129525
static,8,6,1,0.035086
static,8,6,2,0.129516
static,8,6,1,0.035208
static,8,6,2,0.129427
static,8,6,1,0.035047
static,8,6,2,0.131919
static,8,6,1,0.035036
static,8,6,2,0.129597
static,8,12,1,0.019608
static,8,12,2,0.098329
static,8,12,1,0.019608
static,8,12,2,0.098247
static,8,12,1,0.019623
static,8,12,2,0.098263
static,8,12,1,0.019637
static,8,12,2,0.098369
static,8,12,1,0.019632
static,8,12,2,0.098266
static,8,12,1,0.019678
static,8,12,2,0.098294
static,8,12,1,0.019623
static,8,12,2,0.098307
static,8,12,1,0.019636
static,8,12,2,0.098240
static,8,12,1,0.019638
static,8,12,2,0.098798
static,8,12,1,0.019619
static,8,12,2,0.098322
static,8,12,1,0.019616
static,8,12,2,0.099132
static,8,12,1,0.019707
static,8,12,2,0.098266
static,8,12,1,0.019660
static,8,12,2,0.099705
static,8,12,1,0.019598
static,8,12,2,0.098390
static,8,12,1,0.019645
static,8,12,2,0.098260
static,8,12,1,0.019665
static,8,12,2,0.098321
static,8,12,1,0.019593
static,8,12,2,0.098253
static,8,12,1,0.019633
static,8,12,2,0.098306
static,8,12,1,0.019613
static,8,12,2,0.098331
static,8,12,1,0.019637
static,8,12,2,0.098284
static,8,24,1,0.011699
static,8,24,2,0.089407
static,8,24,1,0.011808
static,8,24,2,0.089454
static,8,24,1,0.011743
static,8,24,2,0.089453
static,8,24,1,0.011774
static,8,24,2,0.089405
static,8,24,1,0.011731
static,8,24,2,0.089392
static,8,24,1,0.011726
static,8,24,2,0.090150
static,8,24,1,0.011637
static,8,24,2,0.089361
static,8,24,1,0.011711
static,8,24,2,0.090334
static,8,24,1,0.011691
static,8,24,2,0.089433
static,8,24,1,0.011850
static,8,24,2,0.089551
static,8,24,1,0.011716
static,8,24,2,0.089372
static,8,24,1,0.011689
static,8,24,2,0.089450
static,8,24,1,0.011735
static,8,24,2,0.089397
static,8,24,1,0.011758
static,8,24,2,0.090478
static,8,24,1,0.011670
static,8,24,2,0.089398
static,8,24,1,0.011673
static,8,24,2,0.089448
static,8,24,1,0.011713
static,8,24,2,0.089417
static,8,24,1,0.011754
static,8,24,2,0.089422
static,8,24,1,0.011734
static,8,24,2,0.089408
static,8,24,1,0.011800
static,8,24,2,0.089437
static,16,1,1,0.171099
static,16,1,2,0.504026
static,16,1,1,0.170730
static,16,1,2,0.496081
static,16,1,1,0.170863
static,16,1,2,0.497758
static,16,1,1,0.170854
static,16,1,2,0.499353
static,16,1,1,0.170817
static,16,1,2,0.498180
static,16,1,1,0.170667
static,16,1,2,0.499695
static,16,1,1,0.170685
static,16,1,2,0.502124
static,16,1,1,0.170663
static,16,1,2,0.503371
static,16,1,1,0.171041
static,16,1,2,0.505499
static,16,1,1,0.170851
static,16,1,2,0.503930
static,16,1,1,0.170827
static,16,1,2,0.497020
static,16,1,1,0.170675
static,16,1,2,0.499020
static,16,1,1,0.170638
static,16,1,2,0.501381
static,16,1,1,0.170666
static,16,1,2,0.503632
static,16,1,1,0.170735
static,16,1,2,0.504479
static,16,1,1,0.170873
static,16,1,2,0.504546
static,16,1,1,0.171019
static,16,1,2,0.504066
static,16,1,1,0.171199
static,16,1,2,0.504001
static,16,1,1,0.170785
static,16,1,2,0.503977
static,16,1,1,0.170866
static,16,1,2,0.496718
static,16,2,1,0.089713
static,16,2,2,0.266573
static,16,2,1,0.089628
static,16,2,2,0.266765
static,16,2,1,0.089851
static,16,2,2,0.270964
static,16,2,1,0.089702
static,16,2,2,0.272657
static,16,2,1,0.089634
static,16,2,2,0.269389
static,16,2,1,0.089648
static,16,2,2,0.266413
static,16,2,1,0.089740
static,16,2,2,0.271177
static,16,2,1,0.089632
static,16,2,2,0.269988
static,16,2,1,0.089649
static,16,2,2,0.268530
static,16,2,1,0.089634
static,16,2,2,0.266388
static,16,2,1,0.089673
static,16,2,2,0.266610
static,16,2,1,0.090506
static,16,2,2,0.273159
static,16,2,1,0.089650
static,16,2,2,0.272279
static,16,2,1,0.090413
static,16,2,2,0.272372
static,16,2,1,0.089691
static,16,2,2,0.266510
static,16,2,1,0.089749
static,16,2,2,0.270985
static,16,2,1,0.089625
static,16,2,2,0.270234
static,16,2,1,0.089614
static,16,2,2,0.269913
static,16,2,1,0.090413
static,16,2,2,0.268941
static,16,2,1,0.090289
static,16,2,2,0.268917
static,16,3,1,0.063158
static,16,3,2,0.206241
static,16,3,1,0.062914
static,16,3,2,0.206681
static,16,3,1,0.062908
static,16,3,2,0.204033
static,16,3,1,0.063015
static,16,3,2,0.207376
static,16,3,1,0.063477
static,16,3,2,0.208890
static,16,3,1,0.063474
static,16,3,2,0.204033
static,16,3,1,0.062996
static,16,3,2,0.204095
static,16,3,1,0.063161
static,16,3,2,0.209256
static,16,3,1,0.062911
static,16,3,2,0.207318
static,16,3,1,0.062929
static,16,3,2,0.203998
static,16,3,1,0.062912
static,16,3,2,0.204275
static,16,3,1,0.062990
static,16,3,2,0.207077
static,16,3,1,0.062911
static,16,3,2,0.204993
static,16,3,1,0.063012
static,16,3,2,0.203883
static,16,3,1,0.062979
static,16,3,2,0.207346
static,16,3,1,0.063249
